student_id,听课质量评级,是否隐性逃课
pjxyqxbk873,一般,否
pjxqzxbj979,游离,是
pjxyqxbj575,一般,否
pjxyqxbj239,一般,否
pjxyqxbl708,游离,是
pjxuqwbj839,游离,否
pjxyqxbk782,一般,否
pjxsqxbj880,游离,否
pjxuqwbj695,游离,否
pjxyqwbj534,游离,否
pjxwzxfj994,一般,否
pjxyqxbk941,游离,是
pjxuqwbj589,游离,是
pjxyqwbk760,游离,否
pjxyqxbk138,一般,否
pjxyqwbk664,一般,否
pjxpqxbj916,沉浸,否
pjxyqxbj505,一般,否
pjxyqxbk491,游离,否
pjxyqxbl939,一般,否
pjxsqxbj954,一般,否
pjxyqwbj407,游离,否
pjxyqxbk775,一般,否
pjxyqwbk810,游离,否
pjxwxxbj918,游离,是
pjxrqxbj947,一般,否
pjxyqwbj080,游离,是
pjxyqxbl900,一般,否
pjxyqxbj798,一般,否
pjxyqxbk021,一般,否
pjxyqxbj717,一般,否
pjxyqxbj546,一般,否
pjxyqwbk513,游离,是
pjxyqwbk859,游离,是
pjxyqwbj092,一般,否
pjxyqwbk971,游离,是
pjxsqxbj936,一般,否
pjxyqxbl889,一般,否
pjxyqwbj856,游离,否
pjxyqxbj851,一般,否
pjxyqxbj164,一般,否
pjxyqxbj961,一般,否
pjxyqxbk908,一般,否
pjxuqwbj654,一般,否
pjxyqxbk317,一般,否
pjxyqxbj119,一般,否
pjxsqxbj758,游离,是
pjxyqwbj053,一般,否
pjxyqwbk679,游离,是
pjxyqwbk661,游离,是
pjxyqxbj044,一般,否
pjxsqxbj986,游离,是
pjxuqwbj574,游离,否
pjxyqxbj484,一般,否
pjxyqxbl712,一般,否
pjxyqwbj100,游离,是
pjxwxxbj943,游离,是
pjxyqxbj399,一般,否
pjxyqxbk472,一般,否
pjxuqwbj774,沉浸,否
pjxyqxbl945,游离,是
pjwrqxbj911,游离,否
pjxyqxbj969,游离,是
pjxpqxbj957,游离,否
pjxyqxbk760,一般,否
pjxyqxbk799,沉浸,否
pjxwzxkj993,一般,否
pjxyqwbk770,一般,否
pjxyqwbj444,游离,否
pjxyqxbk918,游离,否
pjxyqxbk268,一般,否
pjxyqxbj679,一般,否
pjxyqwbj659,一般,否
pjxyqxbj160,一般,否
pjxyqxbj921,游离,否
pjxvzrfj997,一般,否
pjxyqxbk059,一般,否
pjxyqxbk674,游离,是
pjxyqxbj432,一般,否
pjxyqwbj656,游离,是
pjxyqxbk086,一般,否
pjxxzxkj991,游离,否
pjxsqxbj994,游离,否
pjxyqxbj964,游离,是
pjxyqwbj340,一般,否
pjxyqwbk928,一般,否
pjxuqwbj757,一般,否
pjxvzxfj970,一般,否
pjxuzxbj984,游离,是
pjxwxxbj913,游离,是
pjxyqxbk354,一般,否
pjxyqwbj062,游离,否
pjxyqwbj326,一般,否
